company,sector,amount,description,year,stage,location,founded,founders,investor
Bombay Shaving Company,Consumer Goods,0.0,Bombay Shaving Company is a Men's grooming startup,2018,Series A,New Delhi,,,
MedCords,Wellness,316800.0,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018,Seed,Pune,,,
University Living,Education,0.0,University Living is an online global student housing marketplace.,2018,Seed,New Delhi,,,
&ME,Food and Beverage,0.0,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,2018,Seed,Bangalore,,,
Enakshi,Fashion,96000.0,Enakshi is an online apparel brand for women.,2018,Seed,Ahmedabad,,,
Ultraviolette Automotive,Automotive,720.0,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,2018,Series A,Bangalore,,,
Inthree Access,Consulting,4000000.0,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2018,Series A,Chennai,,,
BUGWORKS Research India,Biotechnology,9000000.0,BUGWORKS is a drug discovery company.,2018,Series A,Bangalore,,,
Guardian.in,Health Care,0.0,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,2018,Seed,Mumbai,,,
PrestLoans,Credit,100000.0,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",2018,Seed,New Delhi,,,
Wimoxez,Internet,20000.0,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",2018,Seed,Hyderabad,,,
India Accelerator,Communities,0.0,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,2018,Angel,Gurgaon,,,
HappyEMI,Consumer,1000000.0,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2018,Seed,Bangalore,,,
Wishup,Consumer Applications,0.0,Premium Personal Assistance service,2018,Seed,Azadpur,,,
Hansel.io,Mobile,4000000.0,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",2018,Series A,Bangalore,,,
Propelld,Education,250000.0,Propelld is a student education financing platform.,2018,Seed,Bengaluru,,,
PivotRoots,Advertising,0.0,Digital Marketing powered by Data & Technology; fueled by Design thinking,2018,Series A,Mumbai,,,
ZiffyHomes,Marketplace,120000.0,ZiffyHomes is a technology driven marketplace to find out home on rent.,2018,Seed,New Delhi,,,
Carmesi,Health Care,408000.0,Carmesi is a brand of high-end menstrual-hygiene products in India.,2018,Seed,Gurgaon,,,
OckyPocky,E-Learning,0.0,OckyPocky is a interactive and personalised language learning app for preschool kids.,2018,Angel,Haryana,,,
Racetrack,Artificial Intelligence,4104000.0,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2018,Seed,Bangalore,,,
WHR,Health Care,143145.0,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",2018,Seed,Pune,,,
Asteria Aerospace,Aerospace,0.0,Asteria Aerospace is a robotics and artificial intelligence company.,2018,Seed,Bangalore,,,
FabAlley,E-Commerce,7200000.0,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",2018,Series B,Noida,,,
Tranzmeo,Artificial Intelligence,0.0,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,2018,Pre-Seed,Cochin,,,
SBI Life,Insurance,742000000.0,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,2018,Private Equity,Mumbai,,,
Studds Accessories,E-Commerce,12000000.0,Studds Accessories is a scooter accessories service provider in India,2018,Private Equity,Faridabad,,,
Design Cafe,Home Decor,24000000.0,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",2018,Series B,Bengaluru,,,
NoPaperForms Solutions Pvt. Ltd.,EdTech,3980000.0,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",2018,Series B,New Delhi,,,
Rays Power Infra,Energy,24000000.0,Rays Power Infra is a leading integrated Solar Power Company.,2018,Venture - Series Unknown,Jaipur,,,
AuthMetrik,B2B,10000.0,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",2018,Grant,Gurgaon,,,
Khidki,Artificial Intelligence,0.0,Vernacular Social Network Focused on Town Level Content and Interactions,2018,Seed,Bangalore,,,
LetsTransport,Logistics,12000000.0,Lets transport is a logistics solution provider.,2018,Series B,Bangalore,,,
Next Digital Solutions,Digital Marketing,1200.0,Next Digital Solutions is website design & Digital Marketing development company.,2018,Angel,Kota,,,
Portea Medical,Health Care,3000000.0,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,2018,Debt Financing,Bangalore,,,
Aavas Financiers,Finance,24000000.0,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",2018,Post-IPO Debt,Jaipur,,,
Swiggy,Food Delivery,1000000000.0,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,2018,Series H,Bangalore,,,
Milkbasket,E-Commerce,7000000.0,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",2018,Series A,Haryana,,,
Nutrisattva (Proliva),Fitness,0.0,Nutrisattva is a protein innovation compan,2018,Angel,Anand,,,
Toppr,EdTech,35000000.0,Toppr.com is an online preparation platform for entrance exams in India.,2018,Series C,Mumbai,,,
Jagaran Microfin,,6600000.0,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018,Debt Financing,Kolkata,,,
Vivriti Capital,Financial Services,28500000.0,Vivriti Capital is an online platform for institutional debt in India.,2018,Venture - Series Unknown,Chennai,,,
Be U Salons,Apps,360000.0,Be U is India's first subscription based Salon Chain.,2018,Seed,New Delhi,,,
Impact Guru,Creative Agency,2000000.0,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2018,Series A,Mumbai,,,
MobiKwik,Consumer Lending,2880000.0,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,2018,Series E,Gurgaon,,,
Stones2Milestones,E-Learning,0.0,Stones2milestones is a Gurgaon Based Learning Company.,2018,Seed,Gurgaon,,,
Generico,Health Care,0.0,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,2018,Series A,Mumbai,,,
Adiuvo Diagnostics,Health Diagnostics,0.0,Adiuvo Diagnostics is a medical diagnostic device company based in India.,2018,Seed,Chennai,,,
DataTrained,EdTech,1440000.0,"DataTrained is a educational platform, which operates an ed-tech startup on data science",2018,Seed,Bangalore,,,
OneAssist,Financial Services,2400000.0,OneAssist is a protection & assistance services platform.,2018,Debt Financing,Mumbai,,,
Satin Creditcare Network Limited (SCNL),Banking,30000000.0,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,2018,Post-IPO Debt,New Delhi,,,
APAC Financial Services,Finance,30000000.0,APAC Financial Services is a financial services platform.,2018,Private Equity,Mumbai,,,
Moglix,B2B,23000000.0,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",2018,Series C,Noida,,,
SEDEMAC Mechatronics,Automotive,0.0,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,2018,Venture - Series Unknown,Mumbai,,,
MadGuy Labs,E-Learning,150000.0,MadGuy Labs is a Online Test-prep Platform.,2018,Venture - Series Unknown,Hyderabad,,,
Dee Dee Labs,Embedded Systems,0.0,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,2018,Seed,Pune,,,
FLEECA,,0.0,FLEECA is a Tyre Care Provider company.,2018,Seed,Jaipur,,,
Shop101,Apps,11000000.0,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,2018,Series B,Mumbai,,,
FeedMyPockets,Advertising,528000.0,On Demand Staffing Platform,2018,Seed,Bangalore City,,,
Housejoy,Beauty,3240000.0,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,2018,Series B,Bengaluru,,,
Ambee,Health Care,0.0,Ambee is an Environment analytics startup.,2018,Angel,Bangalore,,,
FoodBuddy,Food Delivery,720000.0,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",2018,Seed,Belgaum,,,
Ninjacart,AgTech,30000000.0,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,2018,Series B,Bengaluru,,,
Olly Smart Credit Card,Credit Cards,0.0,Olly is a digital credit card for India's working masses and young people.,2018,Seed,New Delhi,,,
Zestl,Software,0.0,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",2018,Seed,Pune,,,
BYJU’S,EdTech,540000000.0,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,2018,Private Equity,Bangalore,,,
Wakefit,Manufacturing,7800000.0,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,2018,Venture - Series Unknown,Bangalore,,,
Hero Electric,Manufacturing,19200000.0,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",2018,Venture - Series Unknown,New Delhi,,,
Pentation Analytics,Information Services,0.0,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,2018,Seed,Mumbai,,,
PerkFinance,Consumer Lending,900000.0,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018,Seed,Bangalore,,,
Roposo,Internet,10000000.0,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,2018,Series C,Gurgaon,,,
Plum Goodness,Beauty,0.0,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,2018,Series A,Thane,,,
Drstore,Hospital,0.0,Drstore is a exclusive e- commerce platform.,2018,Seed,Mumbai,,,
Wow Venue,Events,1500000.0,Wow Venue is an online platform.,2018,Venture - Series Unknown,Mumbai,,,
Chizel,3D Printing,0.0,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,2018,Seed,Pune,,,
OTO Capital,Automotive,600000.0,OTO Capital is a platform that allows you to own a car faster than ever.,2018,Seed,Mumbai,,,
Boodmo,Automotive,840000.0,boodmo.com - large online marketplace for auto parts in India.,2018,Seed,Gurgaon,,,
Khabri,Apps,0.0,Khabri is a digital audio platform for content in vernacular.,2018,Seed,Haryana,,,
MyNewCar.in,Automotive,1000000.0,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,2018,Venture - Series Unknown,Gurgaon,,,
HalaPlay Technologies,Digital Entertainment,5000000.0,A daily fantasy sports platform.,2018,Series A,Bangalore,,,
PlanetSpark,E-Learning,192000.0,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,2018,Seed,Gurgaon,,,
WheelsEMI,,14000000.0,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",2018,Series B,Pune,,,
Forum for Innovation Incubation Research and Entrepreneurship,Funding Platform,1230000.0,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",2018,Grant,Margão,,,
OYO,Hospitality,100000000.0,OYO is an Indian hospitality startup that operates a network of budget hotels.,2018,Series E,Gurgaon,,,
Quikr,Classifieds,6600000.0,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",2018,Debt Financing,Bangalore,,,
Tabono,Sports,0.0,Tabono is a one stop environment for all your fitness solution.,2018,Seed,Gurgaon,,,
LearnApp,Banking,240000.0,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",2018,Seed,Noida,,,
Shopkirana,E-Commerce,2000000.0,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2018,Venture - Series Unknown,Indore,,,
Fric Bergen,,0.0,Fric Bergen is a leader in the specialty food industry.,2018,Venture - Series Unknown,Alwar,,,
Articbot,Artificial Intelligence,14400.0,Articbot is a conversational AI platform for automated customer support and lead generation,2018,Grant,Kannur,,,
BuildSupply,Enterprise Resource Planning (ERP),3000000.0,India’s most advanced ERP system for the real estate,2018,Series A,Gurgaon,,,
Fusion Microfinance,Banking,62400000.0,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,2018,Series E,New Delhi,,,
Any time Doctor,Software,0.0,Anytime Doctor is a Software company.,2018,Angel,Chennai,,,
Go Payments,Information Services,0.0,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,2018,Corporate Round,Mumbai,,,
Guiddoo World,Audio,800000.0,We build In-Destination Experiences!,2018,Seed,Mumbai,,,
ION Energy,Energy,1041000.0,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,2018,Venture - Series Unknown,Mumbai,,,
UnoTag,Artificial Intelligence,100000.0,SaaS to verify counterfeit,2018,Pre-Seed,Bangalore,,,
CivilCops,Government,100000.0,Gov-Tech,2018,Pre-Seed,Gurgaon,,,
Rockmetric,Information Technology,0.0,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",2018,Grant,Mumbai,,,
Classworks India,Education,1200.0,"Saas, Web App, Mobile App, School Education",2018,Undisclosed,Chennai,,,
Snapmint,Consumer Lending,0.0,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",2018,Seed,Mumbai,,,
artbandhu,Digital Media,15000.0,Ai platform for Art and Creative Community,2018,Pre-Seed,Bangalore,,,
Survaider,Business Intelligence,500000.0,Stethoscope for customer feedback !,2018,Seed,Bengaluru,,,
Credy,Credit,1400000.0,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,2018,Seed,Bengaluru,,,
iChamp,E-Learning,5000000.0,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,2018,Seed,Gurgaon,,,
Qandle,Software,1200000.0,A cloud-based HR management and employee engagement platform.,2018,Seed,Gurgaon,,,
Avishkaar Box,Children,600000.0,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",2018,Seed,Delhi,,,
Gegadyne Energy,Automotive,0.0,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,2018,Angel,Mumbai,,,
HyperXchange,E-Commerce,1000000.0,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,2018,Series A,Pune,,,
Deftouch,,0.0,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,2018,Seed,Bangalore,,,
Doodhwala,Food Delivery,2200000.0,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2018,Seed,Bengaluru,,,
DronaHQ,Mobile,500000.0,DronaHQ is an enterprise mobile engagement platform.,2018,Angel,Mumbai,,,
FastFox,Rental,1200000.0,FastFox: Market Network for Home Rentals (India),2018,Series A,Gurgaon,,,
BuyForexOnline,Travel,2000000.0,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,2018,,Bangalore,,,
Colive.in,Consumer,1800000.0,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,2018,Seed,Bangalore,,,
Agricxlab Private Limited,B2B,500000.0,Online marketplace where farmers and traders can sell their produce to B2B buyers,2018,Seed,Thane,,,
Corefactors,,0.0,"Corefactors is a leading campaign management, business communication and analytics company.",2018,Seed,Bangalore,,,
Fincash.com,Wealth Management,150000.0,A startup in the personal finance space in India .,2018,Seed,Mumbai,,,
Pandorum Technologies,Biotechnology,3600000.0,Bengaluru based biotech startup.,2018,Series A,Bengaluru,,,
Shirsa Labs,Education,500000.0,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,2018,Seed,Mumbai,,,
PetSutra,Veterinary,114000.0,Gurugram-based Online petcare platform.,2018,Seed,Gurgaon,,,
Awaaz De,Internet,0.0,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,2018,Angel,Ahmedabad,,,
PinkBlue,Health Care,300000.0,PinkBlue.in - Super-efficient supply-chain for clinical supplies,2018,Seed,Bangalore,,,
Eduvanz,Finance,500000.0,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",2018,Angel,Mumbai,,,
Rupeek,Financial Services,6830000.0,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,2018,Series A,Bangalore,,,
Backpacker Panda Holidays Private Limited,Tourism,1400000.0,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,2018,Series A,Pune,,,
Shape (School Health and Physical Education),Education,200000.0,Physical education start up,2018,Seed,Pune,,,
Placio,Hospitality,2000000.0,Placio is a student housing and a complete broker-free platform.,2018,Seed,Noida,,,
Aviom India Housing Finance,Finance,1800000.0,Delhi based housing finance company.,2018,Series A,New Delhi,,,
GenRobotic,Market Research,0.0,A Robotic Company.,2018,Seed,Trivandrum,,,
HeyHolidays,Tourism,1000000.0,"HeyHolidays, a global player in online vacation rentals.",2018,Seed,Bangalore,,,
Pratilipi,Digital Media,4300000.0,Amazon's Kindle Direct Publishing for Indian Languages,2018,Series A,Bengaluru,,,
SectorQube,Consumer Electronics,0.0,SectorQube develops smart kitchen devices that make food automatically.,2018,Seed,Ernakulam,,,
Food Memories,Food and Beverage,0.0,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,2018,Seed,Ahmedabad,,,
ZAMROO,Internet,0.0,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,2018,Seed,India,,,
Silversparro Technologies Pvt. Ltd,Analytics,300000.0,Silversparro is a deep learning technology solution provider.,2018,Seed,Gurgaon,,,
Creator’s Gurukul,Facilities Support Services,0.0,A coworking space provider.,2018,Angel,Gurgaon,,,
Emflux Motors,Automotive,364846.0,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,2018,Seed,Bengaluru,,,
Tricog Health Services Pvt Ltd,Health Care,4000000.0,Predictive Healthcare Analytics Company,2018,Series A,Bangalore,,,
Scapic,Cloud Computing,500000.0,Virtual/Augmented Reality Start Up .,2018,Seed,Bangalore,,,
6Degree,Fashion,400000.0,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,2018,Seed,Mumbai,,,
Chrysalis (EZ Vidya),Education,0.0,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,2018,Seed,Chennai,,,
Ekincare,Medical,1500000.0,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,2018,Series A,Hyderabad,,,
Streo,Music Streaming,0.0,"Live stream music from nightclubs, bars & festivals!",2018,Seed,Gurgaon,,,
Groww,Finance,120000.0,Groww offers a new way of investing money.,2018,Seed,Kormangala,,,
Cell Propulsion,,84000.0,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,2018,Seed,Bangalore,,,
Chezuba,Internet,16800.0,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,2018,Angel,Hyderabad,,,
Ontrack Technologies Pvt. Ltd,Retail,0.0,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,2018,Seed,Bangalore,,,
Wealthtrust,Finance,500000.0,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,2018,Seed,Mumbai,,,
Faclon Labs,Cloud Computing,0.0,Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,2018,Seed,Mumbai,,,
Awign Enterprises,Business Development,600000.0,Operations and manpower outsourcing startup,2018,Seed,Bangalore,,,
CollPoll,Education,0.0,World-class Enterprise System for Education.,2018,Seed,Bangalore,,,
Zyla Health,Health Care,0.0,Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,2018,Seed,New Delhi,,,
Hubhopper,Internet,500000.0,Get your daily dose of interest as summaries from news and magazine stories .,2018,Series A,Delhi,,,
Rubix108 Technologies,Information Technology,1000000.0,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,2018,Seed,Pune,,,
Workflexi,Human Resources,120000.0,"Be Smart, Work on Contract,Be Smart, Hire on Contract",2018,Seed,Bangalore,,,
